code,name
A000A,Teff grain
A000B,Finger millet grain
A000C,African millet grain
A000D,Foxtail millet grain
A000E,Little millet grain
A000F,Oat and similar-
A000G,Oat grain
A000H,"Oat grain, red"
A000J,Grains and grain-based products
A000K,Cereals and cereal primary derivatives
A000L,Cereal grains (and cereal-like grains)
A000M,Amaranth grains
A000N,Buckwheat
A000P,Barley grains
A000Q,Kaniwa grain
A000R,Quinoa grain
A000S,Maize and similar-
A000T,Maize grain
A000V,Popcorn kernels
A000X,Teosinte grain
A000Y,Common millet and similar-
A000Z,Barnyard millet
A001A,Pearl millet grain
A001B,Common millet grain
A001C,Rice and similar-
A001D,Rice grain
A001E,"Rice grain, brown"
A001F,"Rice grain, long-grain"
A001G,"Rice grain, mixed"
A001H,"Rice grain, red"
A001J,Indian rice grain
A001K,Rye grain
A001L,Sorghum grain
A001M,Wheat and similar-
A001N,Common wheat grain
A001P,Durum wheat grain
A001Q,Emmer wheat grain
A001R,Spelt grain
A001S,Einkorn wheat grain
A001T,Khorasan wheat grain
A001V,Triticale grain
A001X,Mixture of grains
A001Y,Other cereals
A001Z,White fonio grain
A002A,Job's tears grain
A002B,Cereals and cereal-like milling products and derivatives-deprecated
A002C,Cereal bran
A002D,Amaranth milling products and derivatives-deprecated
A002E,Amaranth flour
A002F,Buckwheat milling products and derivatives-deprecated
A002G,Buckwheat flour
A002H,Buckwheat groats
A002J,Barley milling products and derivatives-deprecated
A002K,"Barley grain, pearled"
A002L,Barley flour
A002M,Maize milling products and derivatives-deprecated
A002N,Maize semolina
A002P,Maize meal
A002Q,Maize flour
A002R,Maize starch
A002S,Millet milling products and derivatives-deprecated
A002T,Millet flour
A002V,Millet groats
A002X,Oat milling products and derivatives-deprecated
A002Y,Oat flour
A002Z,Oat groats
A003A,Oat starch
A003B,Oat bran
A003C,Rice milling products and derivatives-deprecated
A003D,"Rice grain, polished"
A003E,"Rice grain, parboiled"
A003F,Rice flour
A003G,Rice starch
A003H,Rye milling products and derivatives-deprecated
A003J,Rye flour
A003K,"Rye flour, refined"
A003L,"Rye flour, medium"
A003M,"Rye flour, wholemeal"
A003N,"Rye flour, gluten free"
A003P,Rye groats
A003Q,Rye bran
A003R,Rye starch
A003S,Sorghum milling products and derivatives-deprecated
A003T,Sorghum flour
A003V,Wheat milling products and derivatives-deprecated
A003X,Wheat flour
A003Y,Wheat flour white
A003Z,Graham flour
A004A,"Wheat flour, brown"
A004B,Wheat wholemeal flour
A004C,"Wheat flour, durum"
A004D,Chapatti flour
A004E,Wheat groats
A004F,Wheat semolina
A004G,Bulgur
A004H,Spelt flour
A004J,"Spelt flour, refined"
A004K,"Spelt flour, medium"
A004L,"Spelt flour, wholemeal"
A004M,Wheat starch
A004N,"Wheat starch, gluten free"
A004P,Wheat bran
A004Q,Wheat germ
A004R,Mixed cereals milling products and derivatives-deprecated
A004S,Flour mix (like wheat/rye/barley/oats and other)
A004T,Other cereals milling products and derivatives-deprecated
A004V,Bread and similar products
A004X,Wheat bread and rolls
A004Y,"Wheat bread and rolls, white (refined flour)"
A004Z,"Wheat bread and rolls, white with maize"
A005A,"Wheat bread and rolls, white with potato"
A005B,"Wheat bread and rolls, white with rice"
A005C,"Wheat bread and rolls, white with soya"
A005D,"Wheat bread and rolls, semi-brown"
A005E,"Wheat bread and rolls, brown or wholemeal"
A005F,Rye only bread and rolls
A005G,"Rye bread and rolls, refined flour"
A005H,"Rye bread and rolls, wholemeal"
A005J,Pumpernickel
